"","country","gender","health","happy","id","news","internet","polintr","cptppola","trstplt","trstprt","trstsci","vote","trstprl","lrscale","stfdem","stfhlth","stfedu","freehms","hmsacld","atcherp","agea","education","unemployd","partnr_educ","happy_scaled","health_centered"
"1","BG","Female",2,6,10002,80,1,4,2,3,3,6,2,3,NA,4,4,3,3,3,6,76,323,0,323,-0.554724130279594,-0.246007984031936
"2","BG","Male",2,9,10006,63,5,1,4,6,7,10,1,5,10,8,3,8,3,4,8,43,620,0,720,0.906354018105718,-0.246007984031936
"3","BG","Female",3,5,10009,390,5,3,2,3,2,6,1,3,4,2,2,3,4,3,8,50,720,0,NA,-1.04175017974137,0.753992015968064
"4","BG","Female",3,3,10024,60,5,4,NA,0,0,3,2,2,NA,0,1,1,3,4,3,51,313,0,NA,-2.01580227866491,0.753992015968064
"5","BG","Male",2,3,10027,120,5,1,1,0,0,3,1,0,4,3,1,2,4,5,0,70,720,0,720,-2.01580227866491,-0.246007984031936
"6","BG","Female",1,5,10048,60,5,1,1,0,0,5,2,0,5,0,3,5,5,5,8,31,323,0,323,-1.04175017974137,-1.24600798403194
"7","BG","Male",1,7,10053,30,5,3,1,5,3,6,2,5,5,6,7,6,2,4,8,40,313,1,620,-0.0676980808178235,-1.24600798403194
"8","BG","Male",2,5,10055,70,5,3,2,1,1,5,2,2,1,1,3,5,3,3,4,48,323,0,NA,-1.04175017974137,-0.246007984031936
"9","BG","Male",3,6,10059,60,1,3,NA,2,2,8,1,2,6,5,7,6,2,5,4,71,323,0,323,-0.554724130279594,0.753992015968064
"10","BG","Male",4,5,10061,60,1,3,1,0,0,9,1,0,7,0,3,NA,5,5,0,71,0,0,0,-1.04175017974137,1.75399201596806
"11","BG","Female",3,7,10064,300,5,1,2,5,7,6,1,4,1,5,3,2,3,1,6,71,323,0,323,-0.0676980808178235,0.753992015968064
"12","BG","Female",3,7,10068,0,1,4,2,4,4,5,2,5,4,5,4,3,4,3,5,72,313,0,NA,-0.0676980808178235,0.753992015968064
"13","BG","Male",2,7,10071,30,5,2,NA,7,2,10,1,0,NA,5,5,8,4,5,8,52,610,0,323,-0.0676980808178235,-0.246007984031936
"14","BG","Female",3,4,10077,30,1,2,4,5,6,9,2,4,1,4,3,3,3,3,2,85,620,0,NA,-1.52877622920314,0.753992015968064
"15","BG","Female",4,2,10078,60,1,3,1,2,2,9,2,1,5,2,2,3,3,5,3,83,720,0,NA,-2.50282832812668,1.75399201596806
"16","BG","Female",1,7,10079,30,5,3,2,2,1,1,2,3,9,9,8,8,4,2,2,52,323,0,NA,-0.0676980808178235,-1.24600798403194
"17","BG","Male",2,7,10081,120,5,2,1,2,3,6,1,2,6,0,6,6,2,4,7,47,323,0,313,-0.0676980808178235,-0.246007984031936
"18","BG","Male",2,6,10088,150,5,2,1,2,1,8,1,2,7,1,6,8,2,4,8,46,720,0,NA,-0.554724130279594,-0.246007984031936
"19","BG","Male",1,5,10090,30,5,4,1,0,0,4,1,0,7,4,5,3,3,5,9,34,323,0,NA,-1.04175017974137,-1.24600798403194
"20","BG","Female",4,5,10093,120,5,2,NA,3,3,6,1,3,10,6,6,NA,NA,NA,2,71,213,0,NA,-1.04175017974137,1.75399201596806
"21","BG","Male",2,7,10104,30,5,3,1,0,3,5,2,0,5,4,4,5,2,4,5,53,323,0,313,-0.0676980808178235,-0.246007984031936
"22","BG","Male",1,9,10107,60,5,3,1,3,3,5,2,1,5,3,3,4,5,5,10,32,323,0,323,0.906354018105718,-1.24600798403194
"23","BG","Female",2,2,10112,70,5,3,1,0,0,8,1,0,7,1,0,0,5,1,5,60,222,0,NA,-2.50282832812668,-0.246007984031936
"24","BG","Female",3,6,10130,60,4,2,1,2,3,1,1,2,8,2,0,3,1,4,6,59,620,0,NA,-0.554724130279594,0.753992015968064
"25","BG","Male",3,6,10133,NA,4,2,2,3,3,8,1,6,7,3,0,0,3,4,8,71,620,0,720,-0.554724130279594,0.753992015968064
"26","BG","Female",2,9,10134,15,5,4,1,2,2,7,1,3,5,2,1,1,2,4,4,39,720,0,620,0.906354018105718,-0.246007984031936
"27","BG","Female",3,1,10136,120,1,4,2,0,4,1,1,0,1,0,0,3,4,5,1,78,323,0,213,-2.98985437758845,0.753992015968064
"28","BG","Female",2,8,10141,15,5,3,2,0,0,5,1,0,4,2,0,2,2,2,7,49,313,0,323,0.419327968643947,-0.246007984031936
"29","BG","Male",1,8,10145,30,5,4,5,0,0,6,2,0,NA,2,NA,6,2,NA,7,29,620,0,NA,0.419327968643947,-1.24600798403194
"30","BG","Female",3,5,10146,0,5,2,3,7,6,9,1,8,10,5,4,2,3,3,8,67,720,0,NA,-1.04175017974137,0.753992015968064
"31","BG","Female",2,6,10149,60,4,2,2,4,4,6,1,4,2,4,3,3,3,4,5,55,323,0,NA,-0.554724130279594,-0.246007984031936
"32","BG","Female",3,7,10156,120,2,3,1,4,2,8,2,7,3,6,4,5,1,1,10,85,720,0,NA,-0.0676980808178235,0.753992015968064
"33","BG","Male",4,1,10169,120,1,3,1,1,1,NA,2,0,2,1,3,NA,NA,5,1,64,222,0,NA,-2.98985437758845,1.75399201596806
"34","BG","Female",2,8,10176,15,5,4,1,1,1,8,3,0,8,2,3,5,2,4,9,17,213,0,NA,0.419327968643947,-0.246007984031936
"35","BG","Female",1,7,10180,10,5,4,NA,0,0,5,2,0,5,3,4,6,2,3,7,24,313,0,313,-0.0676980808178235,-1.24600798403194
"36","BG","Female",3,9,10182,45,5,2,1,1,1,10,1,4,5,5,5,2,1,3,10,69,720,0,NA,0.906354018105718,0.753992015968064
"37","BG","Female",3,5,10183,120,5,2,2,0,0,4,1,0,NA,0,2,2,2,4,7,65,720,0,720,-1.04175017974137,0.753992015968064
"38","BG","Male",2,5,10187,140,4,3,1,3,1,4,1,2,1,3,2,1,4,4,8,44,620,0,NA,-1.04175017974137,-0.246007984031936
"39","BG","Female",3,10,10203,260,1,3,4,8,5,10,1,5,NA,0,4,4,3,5,10,67,313,0,313,1.39338006756749,0.753992015968064
"40","BG","Female",2,9,10206,0,5,4,2,2,2,7,2,4,5,0,0,5,1,1,1,21,313,0,NA,0.906354018105718,-0.246007984031936
"41","BG","Male",2,5,10212,10,5,4,1,0,0,7,2,3,5,5,5,5,5,4,NA,19,323,0,NA,-1.04175017974137,-0.246007984031936
"42","BG","Female",2,7,10213,30,5,3,3,0,0,5,1,0,5,5,5,5,2,3,7,30,720,0,620,-0.0676980808178235,-0.246007984031936
"43","BG","Male",2,8,10215,270,5,2,2,3,3,4,1,3,5,1,2,5,3,3,8,66,720,0,720,0.419327968643947,-0.246007984031936
"44","BG","Female",1,9,10220,30,5,2,2,5,0,5,1,3,8,5,7,3,1,2,5,31,620,0,NA,0.906354018105718,-1.24600798403194
"45","BG","Male",2,6,10223,180,5,2,2,4,3,5,1,4,3,4,5,3,3,3,5,68,720,0,720,-0.554724130279594,-0.246007984031936
"46","BG","Female",3,6,10225,180,1,2,2,2,2,7,1,2,5,1,7,7,2,5,6,79,213,0,NA,-0.554724130279594,0.753992015968064
"47","BG","Female",2,5,10245,90,5,2,2,3,NA,6,1,0,2,0,2,6,2,5,10,66,610,0,NA,-1.04175017974137,-0.246007984031936
"48","BG","Male",2,5,10249,150,1,2,1,0,0,5,1,0,0,2,3,3,2,5,5,72,323,0,323,-1.04175017974137,-0.246007984031936
"49","BG","Female",2,6,10263,60,2,2,1,4,3,8,1,0,5,0,1,2,3,4,8,84,323,0,NA,-0.554724130279594,-0.246007984031936
"50","BG","Male",1,8,10265,0,5,4,3,0,0,6,2,0,NA,0,NA,4,NA,NA,10,19,323,0,NA,0.419327968643947,-1.24600798403194
"51","BG","Male",1,5,10271,60,5,3,NA,1,1,8,2,2,7,5,6,4,2,5,4,68,620,0,620,-1.04175017974137,-1.24600798403194
"52","BG","Male",2,7,10273,30,5,3,1,2,3,7,2,3,7,5,2,4,5,5,7,44,720,0,720,-0.0676980808178235,-0.246007984031936
"53","BG","Female",2,7,10279,90,5,2,1,5,7,6,1,0,5,3,0,2,3,4,8,75,323,0,NA,-0.0676980808178235,-0.246007984031936
"54","BG","Female",1,5,10280,60,1,2,1,5,5,10,2,5,10,8,5,5,4,4,3,71,213,0,NA,-1.04175017974137,-1.24600798403194
"55","BG","Male",1,8,10283,20,5,3,1,0,5,5,1,3,5,5,5,5,2,2,10,20,213,0,213,0.419327968643947,-1.24600798403194
"56","BG","Male",2,5,10288,15,5,3,4,2,3,7,1,3,6,2,4,5,2,2,6,47,720,0,NA,-1.04175017974137,-0.246007984031936
"57","BG","Female",3,5,10295,45,5,3,2,1,3,3,1,0,4,4,2,3,3,3,9,61,213,1,213,-1.04175017974137,0.753992015968064
"58","BG","Male",2,9,10297,60,4,3,4,2,2,7,1,3,8,7,8,5,2,4,5,51,800,0,800,0.906354018105718,-0.246007984031936
"59","BG","Female",2,5,10304,60,5,2,3,5,5,8,1,5,0,2,5,4,2,3,10,78,610,0,323,-1.04175017974137,-0.246007984031936
